"Session ID","Session Date",Question,"Class Meeting Started","Class Meeting Ended","Class Name","Key Stage","No. Groups","Class Meeting Leader","Class Meeting Note Taker","Question Option 1","Question Option 2","Question Option 3","Question Option 4","Question Option 1 Votes","Question Option 2 Votes","Question Option 3 Votes","Question Option 4 Votes"
3128,11/12/2020,"What is the best time to wake up on Christmas Day?","2020-12-15 14:07:33","2020-12-15 14:19:39",5B,KS1,13,imaan,imaan,"Before 6am (this is really still night time!)","Between 6am and 7am (this is very early)","Between 7am and 8am (when the sun rises)","After 8am",2,6,4,1
3128,11/12/2020,"What is the best time to wake up on Christmas Day?","2020-12-14 07:34:51","2020-12-14 14:53:40",6C,KS1,13,Amy,amy,"Before 6am (this is really still night time!)","Between 6am and 7am (this is very early)","Between 7am and 8am (when the sun rises)","After 8am",5,3,3,2
3128,11/12/2020,"What is the best time to wake up on Christmas Day?","2020-12-14 09:26:43","2020-12-14 10:02:39",4SB,KS1,14,SA,MA,"Before 6am (this is really still night time!)","Between 6am and 7am (this is very early)","Between 7am and 8am (when the sun rises)","After 8am",2,2,10,0
3128,11/12/2020,"What is the best time to wake up on Christmas Day?","2020-12-14 12:33:07","2020-12-14 12:45:59",2CD,KS1,14,"Mrs Charles",Ibrahim,"Before 6am (this is really still night time!)","Between 6am and 7am (this is very early)","Between 7am and 8am (when the sun rises)","After 8am",1,0,7,6
3128,11/12/2020,"What is the best time to wake up on Christmas Day?","2020-12-14 08:57:30","2020-12-14 09:10:45",1J,KS1,9,Hannah,"iulia Grama","Before 6am (this is really still night time!)","Between 6am and 7am (this is very early)","Between 7am and 8am (when the sun rises)","After 8am",1,2,3,3
3025,27/11/2020,"Who is your 2020 hero?","2020-12-01 09:11:42","2020-12-01 09:20:01",3F,KS1,15,Charlie,"Miss Fall","Marcus Rashford","Kate Middleton, Duchess of Cambridge","Boris Johnson","Captain Tom Moore","Joe Wicks",4,7,2,0,2
3025,27/11/2020,"Who is your 2020 hero?","2020-12-02 12:52:04","2020-12-02 13:00:40",6W,KS1,7,Haadia,"Mrs Wallace","Marcus Rashford","Kate Middleton, Duchess of Cambridge","Boris Johnson","Captain Tom Moore","Joe Wicks",6,1,0,0,0
3025,27/11/2020,"Who is your 2020 hero?","2020-11-30 14:39:17","2020-11-30 14:50:23",6C,KS1,13,Amy,Amy,"Marcus Rashford","Kate Middleton, Duchess of Cambridge","Boris Johnson","Captain Tom Moore","Joe Wicks",10,0,0,3,0
3025,27/11/2020,"Who is your 2020 hero?","2020-12-10 12:40:37","2020-12-10 12:59:16",6M,KS1,9,Sabah,Areez,"Marcus Rashford","Kate Middleton, Duchess of Cambridge","Boris Johnson","Captain Tom Moore","Joe Wicks",8,0,0,0,1
3025,27/11/2020,"Who is your 2020 hero?","2020-12-04 10:29:37","2020-12-04 10:39:39",5MP,KS1,15,lucy,lucy,"Marcus Rashford","Kate Middleton, Duchess of Cambridge","Boris Johnson","Captain Tom Moore","Joe Wicks",9,3,2,1,0
3025,27/11/2020,"Who is your 2020 hero?","2020-12-10 13:40:46","2020-12-10 15:08:00",4AB,KS1,15,"A G","A G","Marcus Rashford","Kate Middleton, Duchess of Cambridge","Boris Johnson","Captain Tom Moore","Joe Wicks",4,2,3,2,4
3025,27/11/2020,"Who is your 2020 hero?","2020-11-30 11:03:27","2020-11-30 11:15:57",4SB,KS1,15,SA,JH,"Marcus Rashford","Kate Middleton, Duchess of Cambridge","Boris Johnson","Captain Tom Moore","Joe Wicks",13,1,1,0,0
3025,27/11/2020,"Who is your 2020 hero?","2020-12-01 14:39:58","2020-12-01 14:51:51",3N,KS1,14,"Musa Tapadar","Musa Tapadar","Marcus Rashford","Kate Middleton, Duchess of Cambridge","Boris Johnson","Captain Tom Moore","Joe Wicks",5,0,0,0,9
3025,27/11/2020,"Who is your 2020 hero?","2020-12-10 13:06:33","2020-12-10 14:44:45",3C,KS1,8,Lenish,Lenish,"Marcus Rashford","Kate Middleton, Duchess of Cambridge","Boris Johnson","Captain Tom Moore","Joe Wicks",1,1,2,3,1
3025,27/11/2020,"Who is your 2020 hero?","2020-12-04 08:56:55","2020-12-04 11:43:54",2L,KS1,8,"Miss Leppard","Saif Crane","Marcus Rashford","Kate Middleton, Duchess of Cambridge","Boris Johnson","Captain Tom Moore","Joe Wicks",1,1,1,2,3
